Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:47:56,13-05-2024 15:48:05,9.337s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:48:05,13-05-2024 15:48:05,0.090s,FAILED
"openBrowser("""")",,,,13-05-2024 15:48:05,13-05-2024 15:48:05,0.069s,FAILED
